<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.04	02:30:00	0.58879	0.58903	0.58772	0.58772	1184	0	12
2026.03.04	02:45:00	0.58772	0.58800	0.58740	0.58765	1100	0	12
2026.03.04	03:00:00	0.58767	0.58778	0.58700	0.58714	1377	0	12
2026.03.04	03:15:00	0.58721	0.58721	0.58612	0.58643	1782	0	12
2026.03.04	03:30:00	0.58642	0.58775	0.58613	0.58768	2122	0	12
2026.03.04	03:45:00	0.58767	0.58789	0.58722	0.58775	1597	0	12
2026.03.04	04:00:00	0.58774	0.58853	0.58743	0.58817	1562	0	12
2026.03.04	04:15:00	0.58817	0.58851	0.58775	0.58843	1208	0	12
2026.03.04	04:30:00	0.58842	0.58919	0.58814	0.58911	1196	0	12
2026.03.04	04:45:00	0.58912	0.58962	0.58871	0.58874	1193	0	12
2026.03.04	05:00:00	0.58871	0.58897	0.58827	0.58890	950	0	12
2026.03.04	05:15:00	0.58890	0.58921	0.58877	0.58883	852	0	12
2026.03.04	05:30:00	0.58879	0.58938	0.58832	0.58917	1231	0	12
2026.03.04	05:45:00	0.58917	0.59007	0.58898	0.59005	1203	0	12
2026.03.04	06:00:00	0.59005	0.59054	0.58992	0.59008	1047	0	12
2026.03.04	06:15:00	0.59007	0.59018	0.58951	0.58954	793	0	12
2026.03.04	06:30:00	0.58954	0.58963	0.58884	0.58938	1062	0	12
2026.03.04	06:45:00	0.58941	0.58965	0.58874	0.58928	1155	0	12
2026.03.04	07:00:00	0.58929	0.58984	0.58907	0.58961	1445	0	12
2026.03.04	07:15:00	0.58962	0.58989	0.58898	0.58924	1156	0	12
2026.03.04	07:30:00	0.58925	0.58953	0.58892	0.58919	1034	0	12
2026.03.04	07:45:00	0.58920	0.58969	0.58914	0.58936	1047	0	12
2026.03.04	08:00:00	0.58935	0.58935	0.58857	0.58901	960	0	12
2026.03.04	08:15:00	0.58899	0.58974	0.58888	0.58966	937	0	12
2026.03.04	08:30:00	0.58967	0.59053	0.58963	0.59033	822	0	12
2026.03.04	08:45:00	0.59033	0.59039	0.58992	0.59003	717	0	12
2026.03.04	09:00:00	0.59003	0.59057	0.58992	0.59003	1174	0	12
2026.03.04	09:15:00	0.59002	0.59068	0.58999	0.59066	791	0	12
2026.03.04	09:30:00	0.59069	0.59114	0.59055	0.59094	943	0	12
2026.03.04	09:45:00	0.59094	0.59097	0.59033	0.59035	1007	0	12
2026.03.04	10:00:00	0.59035	0.59053	0.58991	0.59049	1579	0	12
2026.03.04	10:15:00	0.59049	0.59088	0.59008	0.59024	1442	0	12
2026.03.04	10:30:00	0.59025	0.59060	0.58961	0.59011	1415	0	12
2026.03.04	10:45:00	0.59011	0.59053	0.58936	0.58975	1397	0	12
2026.03.04	11:00:00	0.58972	0.58991	0.58915	0.58972	1313	0	12
2026.03.04	11:15:00	0.58972	0.59114	0.58966	0.59083	1370	0	12
